Station;Replicate;Salinity;Oxygen;Individuals;Month;Notes;Script
KB03;1;15;0.1166232;2;6;;run2-15PSU.R
KB03;2;15;0.1248188;2;6;;run2-15PSU.R
KB03;3;15;0.2450774;2;6;;run2-15PSU.R
KB03;4;15;0.2748395;2;6;;run2-15PSU.R
KB03;5;15;0.1843876;2;6;;run2-15PSU.R
KB03;6;15;0.2792164;2;6;;run2-15PSU.R
KB03;7;15;0.1861016;2;6;;run2-15PSU.R
KB03;8;15;0.1812388;2;6;;run2-15PSU.R
IU7;1;15;0.1660242;2;7;;run5-15PSU.R
IU7;2;15;0.175332;2;7;;run5-15PSU.R
IU7;3;15;0.311689;2;7;;run5-15PSU.R
IU7;4;15;0.1159358;2;7;;run5-15PSU.R
IU7;5;15;0.1592492;2;7;;run5-15PSU.R
IU7;6;15;0.09258565;1;7;;run5-15PSU.R
IU7;7;15;0.2180789;2;7;;run5-15PSU.R
IU7;8;15;0.208126;2;7;;run5-15PSU.R
IU7;9;15;0.3050126;2;7;;run5-15PSU.R
IU7;10;15;0.1713767;2;7;;run5-15PSU.R
IU7;1;5;0.1186714;2;7;;run6-05PSU.R
IU7;2;5;0.09242766;2;7;;run6-05PSU.R
IU7;3;5;0.110514;2;7;;run6-05PSU.R
IU7;4;5;0.1318089;2;7;;run6-05PSU.R
IU7;5;5;0.1418479;2;7;;run6-05PSU.R
IU7;6;5;0.2640396;2;7;;run6-05PSU.R
IU7;7;5;0.3087128;2;7;;run6-05PSU.R
IU7;8;5;0.2576475;2;7;;run6-05PSU.R
IU7;9;5;0.2179867;2;7;;run6-05PSU.R
IU7;10;5;0.1195948;2;7;;run6-05PSU.R
SK;1;5;0.1375796;2;9;;run7-05PSU.R
SK;2;5;0.1207243;2;9;;run7-05PSU.R
SK;3;5;0.1734846;2;9;;run7-05PSU.R
SK;4;5;0.1295584;2;9;;run7-05PSU.R
SK;5;5;0.185549;2;9;;run7-05PSU.R
SK;6;5;0.2180217;2;9;;run7-05PSU.R
SK;7;5;0.1226568;2;9;;run7-05PSU.R
SK;8;5;0.07856706;2;9;;run7-05PSU.R
LL17;1;5;0.1244553;2;9;;run7-05PSU.R
LL17;2;5;0.160758;2;9;;run7-05PSU.R
LL17;3;5;0.1153221;2;9;;run7-05PSU.R
LL17;4;5;0.15258;2;9;;run7-05PSU.R
LL17;5;5;0.1808574;2;9;;run7-05PSU.R
LL17;6;5;0.1935419;2;9;;run7-05PSU.R
LL17;7;5;0.08519219;2;9;;run7-05PSU.R
LL17;8;5;0.1467019;2;9;;run7-05PSU.R
SK;1;15;0.2195025;2;9;previous calculations for this run seemed to have some carry over in R --> recalculated;run8-15PSU.R
SK;2;15;0.1273379;2;9;;run8-15PSU.R
SK;3;15;0.1980125;2;9;;run8-15PSU.R
SK;4;15;0.1759948;2;9;;run8-15PSU.R
SK;5;15;0.2173107;2;9;;run8-15PSU.R
SK;6;15;0.1898409;2;9;;run8-15PSU.R
SK;7;15;0.1782854;2;9;;run8-15PSU.R
SK;8;15;0.1533983;2;9;;run8-15PSU.R
LL17;1;15;0.1211719;2;9;;run8-15PSU.R
LL17;2;15;0.1637456;2;9;;run8-15PSU.R
LL17;3;15;0.1820701;2;9;;run8-15PSU.R
LL17;4;15;0.2155959;2;9;;run8-15PSU.R
LL17;5;15;0.1745116;2;9;;run8-15PSU.R
LL17;6;15;0.2328217;2;9;;run8-15PSU.R
LL17;7;15;0.1820414;2;9;;run8-15PSU.R
LL17;8;15;0.1745649;2;9;;run8-15PSU.R
BOK;1;15;0.220565;2;9;;run9-15PSU.R
BOK;2;15;0.1588156;2;9;;run9-15PSU.R
BOK;3;15;0.2360458;2;9;;run9-15PSU.R
BOK;4;15;0.251137;2;9;;run9-15PSU.R
BOK;5;15;0.2639309;2;9;;run9-15PSU.R
BOK;6;15;0.2771821;2;9;;run9-15PSU.R
BOK;7;15;0.3154155;2;9;;run9-15PSU.R
BOK;8;15;0.2185476;2;9;;run9-15PSU.R
GDY;1;15;0.2685617;2;9;rest of GDY had unusally low values already at the beginning of the trial and fell below threshold almost immediatly, population repeated at later time point;run9-15PSU.R
BOK;1;5;0.09276378;2;9;;run10-05PSU.R
BOK;2;5;0.2885543;2;9;;run10-05PSU.R
BOK;3;5;0.250084;2;9;;run10-05PSU.R
BOK;4;5;0.2306912;2;9;;run10-05PSU.R
BOK;5;5;0.0588893;2;9;;run10-05PSU.R
BOK;6;5;0.2196162;2;9;;run10-05PSU.R
BOK;7;5;0.2173522;2;9;;run10-05PSU.R
BOK;8;5;0.2147213;2;9;;run10-05PSU.R
GDY;1;5;0.3286172;2;9;rest of GDY had unusally low values already at the beginning of the trial and fell below threshold almost immediatly, population repeated at later time point;run10-05PSU.R
GDY;2;5;0.3309542;2;9;;run10-05PSU.R
GDY;8;5;0.1406943;1;9;;run10-15PSU.R
H21;1;5;0.1179286;2;10;;run11-05PSU.R
H21;2;5;0.1078936;2;10;;run11-05PSU.R
H21;3;5;0.0724514;2;10;;run11-05PSU.R
H21;4;5;0.1098999;2;10;;run11-05PSU.R
H21;5;5;0.1156175;2;10;;run11-05PSU.R
H21;6;5;0.1544057;2;10;;run11-05PSU.R
H21;7;5;0.1539629;2;10;;run11-05PSU.R
H21;8;5;0.06986465;2;10;;run11-05PSU.R
GDY;1;5;0.2389518;2;10;;run11-05PSU.R
GDY;2;5;0.1522316;2;10;;run11-05PSU.R
GDY;3;5;0.235865;2;10;;run11-05PSU.R
GDY;4;5;0.2125686;2;10;;run11-05PSU.R
GDY;5;5;0.2843242;2;10;;run11-05PSU.R
GDY;6;5;0.3108922;2;10;;run11-05PSU.R
GDY;7;5;0.1470608;2;10;;run11-05PSU.R
GDY;8;5;0.2040533;2;10;;run11-05PSU.R
H21;1;15;0.07061077;2;10;;run12-15PSU.R
H21;2;15;0.04424075;2;10;;run12-15PSU.R
H21;3;15;0.06924478;2;10;;run12-15PSU.R
H21;4;15;0.1672491;2;10;;run12-15PSU.R
H21;5;15;0.153418;2;10;;run12-15PSU.R
H21;6;15;0.1910284;2;10;;run12-15PSU.R
H21;7;15;0.1392142;2;10;;run12-15PSU.R
H21;8;15;0.08361141;2;10;;run12-15PSU.R
GDY;1;15;0.1616023;2;10;;run12-15PSU.R
GDY;2;15;0.2218642;2;10;;run12-15PSU.R
GDY;3;15;0.2560509;2;10;;run12-15PSU.R
GDY;4;15;0.2156959;2;10;;run12-15PSU.R
GDY;5;15;0.3453011;2;10;;run12-15PSU.R
GDY;7;15;0.218865;2;10;;run12-15PSU.R
GDY;8;15;0.2181542;2;10;;run12-15PSU.R
